state,isMetro,parent_count,child_count,needs_childcare,total_cost,median_family_income
1,True,1,3,1,91774.6704,72559.6328125
1,True,1,4,1,98245.0776,72559.6328125
1,True,2,0,0,54099.8616,72559.6328125
1,True,2,1,1,69650.6892,72559.6328125
1,True,2,2,1,86720.8188,72559.6328125
1,True,2,3,1,102658.23,72559.6328125
1,True,2,4,1,109429.9224,72559.6328125
1,False,1,0,0,34824.8088,54139.40234375
1,False,1,1,1,47724.396,54139.40234375
1,False,1,2,1,61870.3824,54139.40234375
1,False,1,3,1,75788.1684,54139.40234375
1,False,1,4,1,81448.8396,54139.40234375
1,False,2,0,0,48555.3372,54139.40234375
1,False,2,1,1,60784.23,54139.40234375
1,False,2,2,1,74178.3048,54139.40234375
1,False,2,3,1,86694.3108,54139.40234375
1,False,2,4,1,92578.8576,54139.40234375
1,True,1,0,0,34306.4976,67573.3671875
1,True,1,1,1,48839.7504,67573.3671875
1,True,1,2,1,64558.014,67573.3671875
1,True,1,3,1,78351.6564,67573.3671875
1,True,1,4,1,84766.3764,67573.3671875
1,True,2,0,0,47620.6116,67573.3671875
1,True,2,1,1,61765.1424,67573.3671875
1,True,2,2,1,76772.3556,67573.3671875
1,True,2,3,1,89837.8008,67573.3671875
1,True,2,4,1,95649.1872,67573.3671875
1,True,1,0,0,34072.7496,56912.859375
1,True,1,1,1,47427.6096,56912.859375
1,True,1,2,1,62544.4224,56912.859375
1,True,1,3,1,77001.3924,56912.859375
1,True,1,4,1,82969.3764,56912.859375
1,True,2,0,0,47634.5532,56912.859375
1,True,2,1,1,60433.6404,56912.859375
1,True,2,2,1,75597.732,56912.859375
1,True,2,3,1,87826.014,56912.859375
1,True,2,4,1,93961.6812,56912.859375
1,True,1,0,0,37078.998,74677.9765625
1,True,1,1,1,52993.3008,74677.9765625
1,True,1,2,1,70463.2092,74677.9765625
1,True,1,3,1,87872.01,74677.9765625
1,True,1,4,1,94689.8964,74677.9765625
1,True,2,0,0,51384.762,74677.9765625
1,True,2,1,1,67230.5508,74677.9765625
1,True,2,2,1,84366.8376,74677.9765625
1,True,2,3,1,99205.5468,74677.9765625
1,True,2,4,1,106433.1096,74677.9765625
1,True,1,0,0,35923.0692,77252.234375
1,True,1,1,1,51269.976,77252.234375
1,True,1,2,1,67719.522,77252.234375
1,True,1,3,1,83082.75,77252.234375
1,True,1,4,1,90510.3396,77252.234375
