state,isMetro,parent_count,child_count,needs_childcare,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes
5,True,2,4,1,22498.3476,15634.1064,16592.322,15846.8088,13849.356,21690.7968,16387.914
6,False,1,0,0,9672.0,3776.54556,11152.37628,5258.18004,4872.93864,0.0,6810.48408
6,False,1,1,1,14664.0,5565.71076,12150.5568,7905.74856,7330.02168,9816.11424,9296.74584
6,False,1,2,1,14664.0,8154.69648,13121.7984,10553.31744,8268.11424,14967.0192,11370.86724
6,False,1,3,1,18300.0,10878.72432,14378.6772,13200.8868,10572.60204,16551.912,15200.2896
6,False,1,4,1,18300.0,13316.2956,14842.9068,15848.4552,11455.83108,16551.912,15792.9912
6,False,2,0,0,11400.0,6923.6682,13464.7572,10516.36008,6639.3882,0.0,8153.28144
6,False,2,1,1,14664.0,8617.2012,14383.4784,13163.928,8435.69748,9816.11424,11311.68756
6,False,2,2,1,14664.0,10913.499,15674.9868,15811.4976,9267.7368,14967.0192,12260.3208
6,False,2,3,1,18300.0,13324.554,16113.9552,18459.066,11458.82304,16551.912,14731.086
6,False,2,4,1,18300.0,16306.0608,16343.3916,21106.6344,12539.1396,16551.912,15350.2968
6,True,1,0,0,11039.967,3683.16984,10640.22804,5212.53996,5477.6268,0.0,7068.09744
6,True,1,1,1,16509.9012,5428.0968,11628.22044,7832.40816,7871.43756,12780.8508,10548.26148
6,True,1,2,1,16509.9012,7953.06888,12615.69,10452.27684,8750.25372,17788.95,12655.9692
6,True,1,3,1,20569.4328,10609.7454,13881.6444,13072.146,11145.83784,19329.9036,16711.5624
6,True,1,4,1,20569.4328,12987.0456,14378.9136,15692.0136,11973.2586,19329.9036,17265.1176
6,True,2,0,0,13533.8772,6752.47776,13056.1452,10425.0798,7254.05712,0.0,8398.37112
6,True,2,1,1,16509.9012,8404.13892,13995.6984,13044.9492,8907.249,12780.8508,12171.75
6,True,2,2,1,16509.9012,10643.66016,15303.9552,15664.8168,9686.7144,17788.95,13115.1024
6,True,2,3,1,20569.4328,12995.1,15777.5928,18284.6868,11976.06084,19329.9036,16112.5152
6,True,2,4,1,20569.4328,15902.8884,16027.206,20904.5532,12988.1172,19329.9036,16666.0704
7,True,1,0,0,16642.2792,4492.42932,5660.73708,4933.47984,7657.93872,0.0,6929.51148
7,True,1,1,1,19414.1592,6620.74872,6384.57864,8266.3206,9433.4736,19994.328,14165.3124
7,True,1,2,1,19414.1592,9700.50288,7528.002,11599.16088,10549.38936,42045.9636,24911.742
7,True,1,3,1,24891.9204,12940.8996,8171.78544,14932.002,13708.3224,48831.0852,31384.2984
7,True,1,4,1,24891.9204,15840.5364,8554.62528,18264.8424,14758.9752,48831.0852,32334.1548
7,True,2,0,0,17027.262,8236.11984,7206.08424,9866.95968,9153.9192,0.0,8563.61352
7,True,2,1,1,19414.1592,10250.68068,8349.1692,13199.8008,10748.74068,19994.328,14341.962
7,True,2,2,1,19414.1592,12982.266,8963.1936,16532.6412,11738.50272,42045.9636,22870.6332
7,True,2,3,1,24891.9204,15850.3608,9324.63576,19865.4816,14762.5344,48831.0852,30205.7196
7,True,2,4,1,24891.9204,19397.0436,9476.89308,23198.322,16047.6384,48831.0852,31740.9048
8,True,1,0,0,10536.0,3558.66792,10270.72416,5689.47984,4952.922,0.0,6816.50028
8,True,1,1,1,12792.0,5244.61236,11164.59228,8587.70652,6308.22288,9293.94648,8000.61696
8,True,1,2,1,12792.0,7684.23264,12618.8748,11485.93284,7110.07104,14779.6176,9123.7734
8,True,1,3,1,18312.0,10251.1062,13336.4184,14384.1588,9905.54664,16467.516,13278.672
8,True,1,4,1,18312.0,12548.046,13866.2832,17282.3868,10638.33396,16467.516,13579.4064
8,True,2,0,0,10896.0,6524.22588,12471.0048,11378.95968,6029.45916,0.0,7765.96068
8,True,2,1,1,12792.0,8120.0544,13955.5248,14277.186,7275.35304,9293.94648,9663.65988
8,True,2,2,1,12792.0,10283.874,14640.2796,17175.4128,8095.96368,14779.6176,9817.17192
8,True,2,3,1,18312.0,12555.8304,15223.4484,20073.6384,10640.81688,16467.516,12338.0928
8,True,2,4,1,18312.0,15365.3256,15636.3936,22971.8652,11537.124,16467.516,12348.078
9,False,1,0,0,7548.0,3174.7884,10953.73896,5914.79004,3881.52936,0.0,4723.11516
9,False,1,1,1,8808.0,4678.8666,11715.31128,8837.2434,4976.2398,5694.71808,4129.5744
9,False,1,2,1,8808.0,6855.32148,12478.134,11759.69676,5805.31896,9887.64624,3671.78508
9,False,1,3,1,12312.0,9145.3008,12987.7608,14682.15,7734.4644,11177.7774,4580.35944
9,False,1,4,1,12312.0,11194.467,13271.982,17604.6036,8495.03544,11177.7774,4086.60168
9,False,2,0,0,7728.0,5820.44568,12872.9784,11829.58008,4909.13604,0.0,5487.70716
9,False,2,1,1,8808.0,7244.1306,13571.7252,14752.0344,5953.56624,5694.71808,5598.375
9,False,2,2,1,8808.0,9174.53544,14015.8764,17674.4868,6674.40156,9887.64624,5045.6796
9,False,2,3,1,12312.0,11201.41044,14264.1504,20596.9404,8497.69848,11177.7774,5515.78128
9,False,2,4,1,12312.0,13707.8412,14844.5184,23519.394,9454.39668,11177.7774,4854.4296
9,True,1,0,0,9618.01098,3548.29284,9908.65866,4951.47984,4824.7941599999995,0.0,5068.638779999999
9,True,1,1,1,13159.7952,5229.3213,10887.75366,7483.0162199999995,6693.80052,7245.17436,5408.68158
9,True,1,2,1,13159.7952,7661.83008,11983.387920000001,10014.55224,7609.5465,12172.539,5440.61724
9,True,1,3,1,18120.112800000003,10221.21864,12901.339800000002,12546.088800000001,10238.82828,13688.6514,7489.7654999999995
9,True,1,4,1,18120.112800000003,12511.4628,13333.2978,15077.6256,11055.28602,13688.6514,7278.20328
9,True,2,0,0,10937.778119999999,6505.20414,12289.431,9902.95968,6341.820180000001,0.0,6099.4239
9,True,2,1,1,13159.7952,8096.3814600000005,13309.697400000001,12434.496,7776.20946,7245.17436,6904.13484
9,True,2,2,1,13159.7952,10253.89164,14190.8658,14966.0328,8579.34744,12172.539,6614.1486
9,True,2,3,1,18120.112800000003,12519.222600000001,14678.374800000001,17497.569,11058.03996,13688.6514,7498.66404
9,True,2,4,1,18120.112800000003,15320.528999999999,14981.4792,20029.1046,12095.5668,13688.6514,7051.58208
10,False,1,0,0,6084.0,3122.91252,11187.78732,5182.79004,3354.82392,0.0,5535.6756
10,False,1,1,1,7776.0,4602.41424,11847.8166,7741.53444,4512.8892,5137.4454,5087.4258
10,False,1,2,1,7776.0,6743.3064,12517.7412,10300.27884,5301.50496,8172.61008,4544.1756
10,False,1,3,1,10464.0,8995.86696,12928.0908,12859.0236,7040.24856,9106.5066,5361.86316
10,False,1,4,1,10464.0,11011.55052,13114.6128,15417.768,7782.91848,9106.5066,4699.0704
10,False,2,0,0,6180.0,5725.34028,13021.6548,10365.58008,4347.17028,0.0,6430.21068
10,False,2,1,1,7776.0,7125.76176,13648.9356,12924.3252,5442.3852,5137.4454,6789.35964
10,False,2,2,1,7776.0,9024.624,14023.4412,15483.0684,6139.78416,8172.61008,6075.71076
10,False,2,3,1,10464.0,11018.3796,14202.1284,18041.814,7785.45048,9106.5066,6569.85936
10,False,2,4,1,10464.0,13483.8564,14322.7692,20600.5572,8688.84228,9106.5066,5842.53108
10,True,1,0,0,7836.0,3190.3509599999998,11149.233779999999,5095.47984,4073.0161200000002,0.0,6158.187599999999
10,True,1,1,1,9994.930680000001,4701.80202,11957.37084,7698.5658,5321.30862,6704.18844,6497.587680000001
